"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_001MA","B28001_001EA","B28001_002E","B28001_002M","B28001_002MA","B28001_002EA","B28001_003E","B28001_003M","B28001_003MA","B28001_003EA","B28001_004E","B28001_004EA","B28001_004M","B28001_004MA","B28001_005E","B28001_005EA","B28001_005M","B28001_005MA","B28001_006E","B28001_006EA","B28001_006M","B28001_006MA","B28001_007E","B28001_007M","B28001_007MA","B28001_007EA","B28001_008E","B28001_008M","B28001_008MA","B28001_008EA","B28001_009E","B28001_009EA","B28001_009M","B28001_009MA","B28001_010E","B28001_010M","B28001_010MA","B28001_010EA","B28001_011E","B28001_011EA","B28001_011M","B28001_011MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Has one or more types of computing devices","Margin of Error!!Total!!Has one or more types of computing devices","Annotation of Margin of Error!!Total!!Has one or more types of computing devices","Annotation of Estimate!!Total!!Has one or more types of computing devices","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Other computer","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!No Computer","Annotation of Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer","Annotation of Margin of Error!!Total!!No Computer",
"0400000US01","Alabama","1856695","5529","null","null","1511468","6698","null","null","1276283","7910","null","null","214778","null","2941","null","1224108","null","6460","null","111190","null","2544","null","895396","6498","null","null","15217","778","null","null","68078","null","1926","null","1957","246","null","null","345227","null","3621","null",
"0400000US02","Alaska","252536","1271","null","null","233425","1275","null","null","211097","1447","null","null","24546","null","964","null","197611","null","1681","null","9399","null","568","null","150638","1710","null","null","1180","216","null","null","22480","null","1015","null","273","111","null","null","19111","null","706","null",
"0400000US04","Arizona","2482311","6429","null","null","2190319","7919","null","null","1975438","8577","null","null","306533","null","3908","null","1779593","null","7693","null","99359","null","2549","null","1333545","9117","null","null","13575","771","null","null","106583","null","2328","null","2217","299","null","null","291992","null","3252","null",
"0400000US05","Arkansas","1147291","4059","null","null","940100","4881","null","null","784196","5333","null","null","133894","null","2550","null","762492","null","4790","null","73910","null","1928","null","550939","4708","null","null","8293","648","null","null","38054","null","1377","null","1207","243","null","null","207191","null","2656","null",
"0400000US06","California","12888128","18518","null","null","11624493","24444","null","null","10572087","32833","null","null","1274442","null","6685","null","9812982","null","21685","null","451320","null","7019","null","7454449","25248","null","null","62990","1935","null","null","834156","null","10491","null","15468","831","null","null","1263635","null","8869","null",
"0400000US08","Colorado","2082531","4593","null","null","1913892","5327","null","null","1765143","6193","null","null","228625","null","2874","null","1598281","null","5527","null","65479","null","1913","null","1209244","6139","null","null","9675","642","null","null","94189","null","2356","null","1969","320","null","null","168639","null","2998","null",
"0400000US09","Connecticut","1361755","3669","null","null","1201554","4509","null","null","1106761","4808","null","null","165522","null","2376","null","969673","null","5017","null","37186","null","1487","null","748512","5103","null","null","8924","613","null","null","75416","null","1727","null","1828","315","null","null","160201","null","2477","null",
"0400000US10","Delaware","352357","1633","null","null","311354","2029","null","null","276451","2291","null","null","43646","null","1219","null","250865","null","1936","null","14404","null","901","null","192764","2047","null","null","2340","354","null","null","15462","null","804","null","620","172","null","null","41003","null","1203","null",
"0400000US11","District of Columbia","277985","1316","null","null","245069","1552","null","null","221515","1777","null","null","20387","null","887","null","214416","null","1651","null","11573","null","695","null","160160","1926","null","null","1239","233","null","null","13892","null","789","null","259","95","null","null","32916","null","1021","null",
