"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_001MA","B28001_001EA","B28001_002E","B28001_002M","B28001_002MA","B28001_002EA","B28001_003E","B28001_003M","B28001_003MA","B28001_003EA","B28001_004E","B28001_004M","B28001_004MA","B28001_004EA","B28001_005E","B28001_005M","B28001_005MA","B28001_005EA","B28001_006E","B28001_006M","B28001_006MA","B28001_006EA","B28001_007E","B28001_007M","B28001_007MA","B28001_007EA","B28001_008E","B28001_008EA","B28001_008M","B28001_008MA","B28001_009E","B28001_009EA","B28001_009M","B28001_009MA","B28001_010E","B28001_010M","B28001_010MA","B28001_010EA","B28001_011E","B28001_011M","B28001_011MA","B28001_011EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Has one or more types of computing devices","Margin of Error!!Total!!Has one or more types of computing devices","Annotation of Margin of Error!!Total!!Has one or more types of computing devices","Annotation of Estimate!!Total!!Has one or more types of computing devices","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Other computer","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer","Annotation of Margin of Error!!Total!!No Computer","Annotation of Estimate!!Total!!No Computer",
"0400000US01","Alabama","1860269","6522","null","null","1551296","7580","null","null","1271176","8423","null","null","159860","2961","null","null","1318440","7030","null","null","150961","2893","null","null","950671","8000","null","null","17875","null","825","null","62584","null","1737","null","1691","236","null","null","308973","3680","null","null",
"0400000US02","Alaska","253462","1351","null","null","236598","1381","null","null","208835","1510","null","null","18488","765","null","null","207707","1686","null","null","13623","762","null","null","156966","1987","null","null","1466","null","201","null","19996","null","1020","null","177","70","null","null","16864","727","null","null",
"0400000US04","Arizona","2524300","6840","null","null","2269063","8263","null","null","2010742","9272","null","null","228761","3291","null","null","1941435","7600","null","null","135117","2700","null","null","1451254","9323","null","null","15978","null","813","null","97767","null","2137","null","1559","235","null","null","255237","3804","null","null",
"0400000US05","Arkansas","1152175","4053","null","null","969432","4727","null","null","783681","5529","null","null","100216","1884","null","null","826997","4564","null","null","102143","2527","null","null","581266","5293","null","null","8989","null","607","null","36089","null","1359","null","989","222","null","null","182743","2876","null","null",
"0400000US06","California","12965435","19785","null","null","11886064","24688","null","null","10643437","33961","null","null","930415","5958","null","null","10469892","21166","null","null","605877","7925","null","null","7954613","29825","null","null","74656","null","1940","null","744795","null","10622","null","12726","788","null","null","1079371","8238","null","null",
"0400000US08","Colorado","2113387","4542","null","null","1962259","5290","null","null","1784750","6335","null","null","171728","2528","null","null","1709320","5404","null","null","87798","2270","null","null","1297222","6648","null","null","11818","null","757","null","83742","null","1836","null","1493","210","null","null","151128","2210","null","null",
"0400000US09","Connecticut","1367374","3671","null","null","1224654","4382","null","null","1106700","5198","null","null","126812","2144","null","null","1034467","4398","null","null","53575","1883","null","null","803123","5836","null","null","11559","null","737","null","65363","null","2052","null","1356","289","null","null","142720","2219","null","null",
"0400000US10","Delaware","357765","1676","null","null","321643","1811","null","null","276835","2240","null","null","33208","1071","null","null","272535","2185","null","null","20541","1119","null","null","207202","2238","null","null","2907","null","421","null","13742","null","914","null","579","184","null","null","36122","1046","null","null",
"0400000US11","District of Columbia","281322","1459","null","null","252564","1723","null","null","224575","1838","null","null","15468","627","null","null","227696","1813","null","null","15423","911","null","null","168596","1887","null","null","1597","null","256","null","10462","null","749","null","183","70","null","null","28758","909","null","null",
