"GEO_ID","NAME","B28001_001E","B28001_001EA","B28001_001M","B28001_001MA","B28001_002E","B28001_002M","B28001_002MA","B28001_002EA","B28001_003E","B28001_003EA","B28001_003M","B28001_003MA","B28001_004E","B28001_004EA","B28001_004M","B28001_004MA","B28001_005E","B28001_005EA","B28001_005M","B28001_005MA","B28001_006E","B28001_006EA","B28001_006M","B28001_006MA","B28001_007E","B28001_007EA","B28001_007M","B28001_007MA","B28001_008E","B28001_008EA","B28001_008M","B28001_008MA","B28001_009E","B28001_009EA","B28001_009M","B28001_009MA","B28001_010E","B28001_010EA","B28001_010M","B28001_010MA","B28001_011E","B28001_011EA","B28001_011M","B28001_011MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Has one or more types of computing devices","Margin of Error!!Total!!Has one or more types of computing devices","Annotation of Margin of Error!!Total!!Has one or more types of computing devices","Annotation of Estimate!!Total!!Has one or more types of computing devices","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Other computer","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!No Computer","Annotation of Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer","Annotation of Margin of Error!!Total!!No Computer",
"0400000US01","Alabama","1867893","null","5799","null","1597441","7366","null","null","1273184","null","8515","null","119052","null","2349","null","1409323","null","6963","null","193867","null","3360","null","989023","null","8774","null","20241","null","930","null","53030","null","1720","null","1388","null","254","null","270452","null","3883","null",
"0400000US02","Alaska","253346","null","1463","null","238412","1614","null","null","205730","null","1774","null","13937","null","714","null","216076","null","1837","null","17965","null","973","null","160713","null","1977","null","1672","null","311","null","17732","null","1044","null","109","null","50","null","14934","null","746","null",
"0400000US04","Arizona","2571268","null","6669","null","2357063","7604","null","null","2051939","null","9473","null","172876","null","2944","null","2092286","null","7356","null","176145","null","3482","null","1548327","null","9757","null","18674","null","864","null","87717","null","2199","null","1115","null","222","null","214205","null","3007","null",
"0400000US05","Arkansas","1158071","null","4555","null","998207","4945","null","null","781724","null","5755","null","76385","null","1508","null","881907","null","4507","null","133739","null","2776","null","601849","null","5827","null","10289","null","693","null","30415","null","1187","null","686","null","146","null","159864","null","2226","null",
"0400000US06","California","13044266","null","20333","null","12131484","23441","null","null","10714889","null","33555","null","692431","null","6061","null","11032043","null","20109","null","782369","null","10312","null","8305895","null","35611","null","82284","null","2120","null","609554","null","7890","null","7932","null","639","null","912782","null","6658","null",
"0400000US08","Colorado","2148994","null","5236","null","2017102","5554","null","null","1816117","null","7304","null","131916","null","2471","null","1812805","null","5790","null","111153","null","2799","null","1368597","null","7290","null","13117","null","722","null","68084","null","1635","null","1050","null","182","null","131892","null","2119","null",
"0400000US09","Connecticut","1370746","null","3770","null","1244770","4633","null","null","1105785","null","5889","null","99529","null","1989","null","1088196","null","4638","null","70478","null","2298","null","839157","null","6225","null","13129","null","641","null","49626","null","1723","null","897","null","216","null","125976","null","2173","null",
"0400000US10","Delaware","363322","null","1674","null","332764","2229","null","null","280752","null","2590","null","24932","null","925","null","293006","null","2292","null","26380","null","1198","null","218907","null","2639","null","3284","null","390","null","11751","null","748","null","390","null","151","null","30558","null","1180","null",
"0400000US11","District of Columbia","284386","null","1503","null","260932","1782","null","null","228865","null","1994","null","12573","null","793","null","240480","null","1845","null","19078","null","1040","null","176797","null","1947","null","1745","null","300","null","8501","null","606","null","117","null","58","null","23454","null","1119","null",
