"GEO_ID","NAME","B28001_001E","B28001_001EA","B28001_001M","B28001_001MA","B28001_002E","B28001_002EA","B28001_002M","B28001_002MA","B28001_003E","B28001_003M","B28001_003MA","B28001_003EA","B28001_004E","B28001_004M","B28001_004MA","B28001_004EA","B28001_005E","B28001_005EA","B28001_005M","B28001_005MA","B28001_006E","B28001_006EA","B28001_006M","B28001_006MA","B28001_007E","B28001_007M","B28001_007MA","B28001_007EA","B28001_008E","B28001_008M","B28001_008MA","B28001_008EA","B28001_009E","B28001_009M","B28001_009MA","B28001_009EA","B28001_010E","B28001_010EA","B28001_010M","B28001_010MA","B28001_011E","B28001_011EA","B28001_011M","B28001_011MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Has one or more types of computing devices","Annotation of Estimate!!Total!!Has one or more types of computing devices","Margin of Error!!Total!!Has one or more types of computing devices","Annotation of Margin of Error!!Total!!Has one or more types of computing devices","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!No Computer","Annotation of Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer","Annotation of Margin of Error!!Total!!No Computer",
"0400000US01","Alabama","1888504","null","5749","null","1659065","null","6791","null","1301084","8701","null","null","87133","1950","null","null","1508608","null","6459","null","232744","null","4487","null","1042196","9872","null","null","21915","1056","null","null","40731","1500","null","null","492","null","135","null","229439","null","3664","null",
"0400000US02","Alaska","255173","null","1326","null","242325","null","1521","null","206269","1787","null","null","10184","704","null","null","225673","null","1662","null","21902","null","893","null","165082","1906","null","null","1778","348","null","null","13034","1060","null","null","14","null","15","null","12848","null","676","null",
"0400000US04","Arizona","2643430","null","6290","null","2467069","null","7387","null","2131363","9456","null","null","131671","2574","null","null","2253759","null","6929","null","209654","null","4815","null","1660590","10555","null","null","20665","1035","null","null","76335","2338","null","null","673","null","206","null","176361","null","3331","null",
"0400000US05","Arkansas","1170544","null","4411","null","1031971","null","4832","null","792305","6349","null","null","55962","1853","null","null","941107","null","4389","null","161979","null","3706","null","627676","5849","null","null","10739","737","null","null","20811","1241","null","null","189","null","82","null","138573","null","2426","null",
"0400000US06","California","13103114","null","18542","null","12360505","null","21356","null","10847327","30863","null","null","513326","6066","null","null","11523470","null","16941","null","910608","null","10732","null","8653284","34783","null","null","89681","2146","null","null","445607","6154","null","null","3215","null","552","null","742609","null","6606","null",
"0400000US08","Colorado","2137402","null","4703","null","2028365","null","4957","null","1816231","6242","null","null","100066","2315","null","null","1866864","null","5412","null","126395","null","3057","null","1415262","6344","null","null","14517","906","null","null","53739","1569","null","null","541","null","163","null","109037","null","1999","null",
"0400000US09","Connecticut","1385437","null","3268","null","1274056","null","4020","null","1119595","5119","null","null","76255","2194","null","null","1146770","null","3922","null","86407","null","2885","null","882520","6231","null","null","14643","879","null","null","33567","1202","null","null","339","null","121","null","111381","null","2422","null",
"0400000US10","Delaware","370953","null","1823","null","345186","null","2014","null","290118","2616","null","null","18530","922","null","null","313010","null","2113","null","29930","null","1728","null","236120","2918","null","null","3701","452","null","null","9202","789","null","null","100","null","53","null","25767","null","1340","null",
"0400000US11","District of Columbia","288307","null","1319","null","268218","null","1636","null","235228","2436","null","null","8877","626","null","null","253498","null","1775","null","21159","null","1406","null","185109","2416","null","null","1748","305","null","null","6812","640","null","null","51","null","39","null","20089","null","1207","null",
