"GEO_ID","NAME","B28001_001E","B28001_001EA","B28001_001M","B28001_001MA","B28001_002E","B28001_002EA","B28001_002M","B28001_002MA","B28001_003E","B28001_003EA","B28001_003M","B28001_003MA","B28001_004E","B28001_004M","B28001_004MA","B28001_004EA","B28001_005E","B28001_005EA","B28001_005M","B28001_005MA","B28001_006E","B28001_006EA","B28001_006M","B28001_006MA","B28001_007E","B28001_007EA","B28001_007M","B28001_007MA","B28001_008E","B28001_008M","B28001_008MA","B28001_008EA","B28001_009E","B28001_009M","B28001_009MA","B28001_009EA","B28001_010E","B28001_010EA","B28001_010M","B28001_010MA","B28001_011E","B28001_011EA","B28001_011M","B28001_011MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Has one or more types of computing devices","Annotation of Estimate!!Total!!Has one or more types of computing devices","Margin of Error!!Total!!Has one or more types of computing devices","Annotation of Margin of Error!!Total!!Has one or more types of computing devices","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Annotation of Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Annotation of Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!No Computer","Annotation of Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer","Annotation of Margin of Error!!Total!!No Computer",
"0400000US01","Alabama","1902983","null","5852","null","1706822","null","6950","null","1327877","null","7682","null","68577","1925","null","null","1583350","null","6532","null","249529","null","3698","null","1075083","null","9235","null","20508","910","null","null","40511","1413","null","null","477","null","148","null","196161","null","3414","null",
"0400000US02","Alaska","260561","null","1334","null","248873","null","1503","null","210361","null","1758","null","7831","579","null","null","235352","null","1608","null","23730","null","1159","null","169967","null","1775","null","1662","236","null","null","11794","847","null","null","18","null","20","null","11688","null","661","null",
"0400000US04","Arizona","2683557","null","6004","null","2533201","null","6230","null","2184385","null","8590","null","100413","2203","null","null","2362796","null","6841","null","218267","null","4213","null","1726835","null","10406","null","19314","1072","null","null","72595","2392","null","null","797","null","231","null","150356","null","3082","null",
"0400000US05","Arkansas","1158460","null","3725","null","1040511","null","4377","null","794954","null","5936","null","42336","1477","null","null","968156","null","4399","null","168630","null","4036","null","640020","null","5511","null","9860","712","null","null","19558","1055","null","null","241","null","104","null","117949","null","2214","null",
"0400000US06","California","13217586","null","19810","null","12586778","null","22128","null","11016839","null","31781","null","390716","4992","null","null","11921237","null","20226","null","951989","null","10402","null","8886661","null","36078","null","84427","2220","null","null","442803","5538","null","null","3267","null","531","null","630808","null","7044","null",
"0400000US08","Colorado","2227932","null","3823","null","2131145","null","4031","null","1908287","null","5819","null","78252","2209","null","null","2000172","null","4402","null","134296","null","3335","null","1507228","null","6586","null","14122","1122","null","null","53059","1914","null","null","496","null","153","null","96787","null","2086","null",
"0400000US09","Connecticut","1397324","null","3455","null","1302764","null","4010","null","1136950","null","4884","null","60288","1721","null","null","1198381","null","4124","null","95321","null","2181","null","907139","null","5642","null","14081","1009","null","null","30603","1206","null","null","333","null","106","null","94560","null","2372","null",
"0400000US10","Delaware","381097","null","1552","null","359187","null","1906","null","302465","null","2257","null","14877","898","null","null","332667","null","1913","null","32139","null","1457","null","247876","null","2640","null","3713","458","null","null","9030","924","null","null","61","null","39","null","21910","null","1244","null",
"0400000US11","District of Columbia","310104","null","1722","null","292737","null","2024","null","256104","null","2297","null","6787","601","null","null","280500","null","2050","null","24497","null","1498","null","200204","null","3085","null","1685","338","null","null","7850","822","null","null","116","null","71","null","17367","null","1361","null",
"0400000US12","Florida","8157420","null","21974","null","7693785","null","23141","null","6582540","null","29254","null","307381","5012","null","null","7161778","null","20319","null","693061","null","9391","null","5153069","null","34088","null","65553","2400","null","null","255427","4532","null","null","2323","null","385","null","463635","null","6717","null",
"0400000US13","Georgia","3885371","null","8940","null","3619549","null","10826","null","3053778","null","14937","null","120735","2600","null","null","3411154","null","10264","null","361352","null","7102","null","2473106","null","17152","null","29260","1483","null","null","95806","2973","null","null","769","null","226","null","265822","null","4342","null",
"0400000US15","Hawaii","478413","null","2009","null","447987","null","2334","null","388411","null","2797","null","16389","951","null","null","419586","null","2402","null","33411","null","1346","null","324486","null","2920","null","3801","585","null","null","11186","838","null","null","72","null","49","null","30426","null","1298","null",
"0400000US16","Idaho","657101","null","2559","null","619106","null","2899","null","539991","null","3955","null","28155","1293","null","null","571881","null","3370","null","47193","null","1886","null","426371","null","4543","null","5254","533","null","null","14805","1114","null","null","189","null","115","null","37995","null","1428","null",
"0400000US17","Illinois","4930255","null","7843","null","4567827","null","9183","null","3884332","null","12949","null","179329","3594","null","null","4258804","null","8349","null","422425","null","6191","null","3115353","null","14543","null","41643","1686","null","null","136196","2745","null","null","1256","null","212","null","362428","null","4336","null",
"0400000US18","Indiana","2622601","null","6597","null","2404899","null","7884","null","1972025","null","10490","null","107511","2386","null","null","2219374","null","7280","null","261990","null","5056","null","1584032","null","10935","null","25042","1240","null","null","55026","1935","null","null","549","null","138","null","217702","null","3353","null",
"0400000US19","Iowa","1275893","null","3252","null","1169965","null","3864","null","981780","null","5391","null","59203","1333","null","null","1066713","null","3770","null","113713","null","2546","null","772065","null","5452","null","14281","830","null","null","22407","1240","null","null","321","null","120","null","105928","null","1751","null",
"0400000US20","Kansas","1139738","null","3775","null","1062203","null","4122","null","892915","null","5333","null","49087","1741","null","null","979328","null","3814","null","103679","null","2791","null","705233","null","5009","null","10702","737","null","null","24325","1207","null","null","168","null","57","null","77535","null","1708","null",
"0400000US21","Kentucky","1748475","null","5017","null","1576610","null","5348","null","1259484","null","7522","null","68459","1681","null","null","1446987","null","4906","null","190183","null","4162","null","1040615","null","7261","null","21891","1011","null","null","46178","1831","null","null","362","null","115","null","171865","null","2636","null",
"0400000US22","Louisiana","1748688","null","5810","null","1565982","null","6645","null","1204737","null","9160","null","53909","2008","null","null","1469080","null","6687","null","246139","null","5106","null","960133","null","8928","null","15602","1091","null","null","42975","2034","null","null","498","null","145","null","182706","null","3308","null",
"0400000US23","Maine","571064","null","1997","null","525832","null","2620","null","457706","null","2893","null","37956","1405","null","null","458114","null","2817","null","33823","null","1412","null","355841","null","3058","null","8163","523","null","null","10662","759","null","null","148","null","78","null","45232","null","1550","null",
"0400000US24","Maryland","2294270","null","4090","null","2169790","null","4894","null","1925133","null","6582","null","83230","2311","null","null","2023415","null","4791","null","144472","null","3445","null","1576033","null","7380","null","17297","964","null","null","69333","2304","null","null","532","null","182","null","124480","null","2605","null",
"0400000US25","Massachusetts","2714448","null","4158","null","2538022","null","5269","null","2238681","null","7061","null","118163","2359","null","null","2331821","null","5117","null","164156","null","3701","null","1790958","null","9543","null","29275","1319","null","null","57020","1893","null","null","881","null","230","null","176426","null","3072","null",
"0400000US26","Michigan","3976729","null","8287","null","3675302","null","8848","null","3065044","null","11564","null","169815","2698","null","null","3367312","null","7718","null","365763","null","5036","null","2444963","null","11543","null","44160","1561","null","null","81062","1932","null","null","1127","null","201","null","301427","null","3141","null",
"0400000US27","Minnesota","2229100","null","4779","null","2091392","null","4937","null","1830675","null","6459","null","94746","1883","null","null","1926966","null","5028","null","143584","null","2923","null","1461414","null","7039","null","21022","1022","null","null","50344","1313","null","null","566","null","125","null","137708","null","2396","null",
"0400000US28","Mississippi","1108670","null","4270","null","979889","null","4817","null","718804","null","5708","null","35717","1618","null","null","916750","null","4828","null","179985","null","3827","null","582498","null","6466","null","10967","875","null","null","23400","1293","null","null","279","null","111","null","128781","null","2577","null",
"0400000US29","Missouri","2433819","null","5438","null","2240530","null","6619","null","1843032","null","9452","null","104612","2527","null","null","2063780","null","6474","null","248187","null","4361","null","1464210","null","8875","null","22587","1068","null","null","53795","2033","null","null","602","null","136","null","193289","null","3296","null",
"0400000US30","Montana","436481","null","2253","null","400534","null","2398","null","346341","null","3082","null","23965","884","null","null","359369","null","2479","null","30414","null","1555","null","265542","null","2781","null","5009","460","null","null","8140","693","null","null","49","null","38","null","35947","null","1051","null",
"0400000US31","Nebraska","766887","null","2420","null","711363","null","2750","null","602740","null","3614","null","34257","1143","null","null","651060","null","2795","null","60747","null","1574","null","491206","null","3442","null","8590","609","null","null","18204","1108","null","null","244","null","97","null","55524","null","1656","null",
"0400000US32","Nevada","1141952","null","2588","null","1081432","null","3033","null","919307","null","4329","null","43011","1553","null","null","1010651","null","3518","null","102704","null","2425","null","718827","null","5350","null","7533","656","null","null","39610","1598","null","null","361","null","124","null","60520","null","1848","null",
"0400000US33","New Hampshire","540498","null","1974","null","510443","null","2176","null","458004","null","2943","null","28679","1078","null","null","460280","null","2391","null","26128","null","1628","null","363576","null","3129","null","5329","460","null","null","14691","992","null","null","161","null","74","null","30055","null","1341","null",
"0400000US34","New Jersey","3397156","null","5756","null","3189414","null","7315","null","2803506","null","9573","null","131728","2603","null","null","2965965","null","6509","null","224318","null","4832","null","2255265","null","11522","null","30438","1467","null","null","76877","1918","null","null","447","null","146","null","207742","null","3842","null",
"0400000US35","New Mexico","797596","null","2730","null","715435","null","3580","null","581118","null","4767","null","34145","1530","null","null","657087","null","3338","null","90252","null","2580","null","448575","null","4732","null","7003","720","null","null","29515","1787","null","null","214","null","143","null","82161","null","2284","null",
"0400000US36","New York","7530150","null","13493","null","6941225","null","15333","null","5949202","null","21096","null","325867","4010","null","null","6375840","null","14010","null","569110","null","7833","null","4751584","null","22776","null","79224","2246","null","null","208706","3870","null","null","2359","null","385","null","588925","null","5566","null",
"0400000US37","North Carolina","4034684","null","9031","null","3712354","null","11326","null","3115482","null","14216","null","152423","3457","null","null","3446739","null","10282","null","379790","null","6003","null","2461379","null","16966","null","36290","1384","null","null","93494","2298","null","null","891","null","236","null","322330","null","4911","null",
"0400000US38","North Dakota","316542","null","1777","null","291910","null","2111","null","248409","null","2219","null","13883","825","null","null","267996","null","2141","null","24263","null","1083","null","199862","null","2292","null","3074","350","null","null","6254","619","null","null","73","null","54","null","24632","null","1059","null",
"0400000US39","Ohio","4754161","null","9064","null","4368120","null","9726","null","3629510","null","13990","null","215739","3709","null","null","3985576","null","8573","null","432231","null","5788","null","2937564","null","13417","null","53849","1790","null","null","104826","2730","null","null","1416","null","250","null","386041","null","4434","null",
"0400000US40","Oklahoma","1503868","null","2833","null","1383956","null","3243","null","1084214","null","4457","null","52202","1632","null","null","1297339","null","3408","null","202451","null","3384","null","864205","null","4423","null","11664","748","null","null","39781","1383","null","null","226","null","64","null","119912","null","2132","null",
"0400000US41","Oregon","1658091","null","3326","null","1575572","null","4175","null","1388729","null","5907","null","72146","1891","null","null","1455337","null","3988","null","108373","null","3075","null","1079896","null","6792","null","12225","908","null","null","37849","1608","null","null","425","null","140","null","82519","null","2265","null",
"0400000US42","Pennsylvania","5147783","null","8001","null","4678319","null","8726","null","3977293","null","12831","null","258632","3679","null","null","4220918","null","8602","null","401350","null","5071","null","3173116","null","14645","null","62651","1688","null","null","110626","2826","null","null","1454","null","235","null","469464","null","4944","null",
"0400000US44","Rhode Island","426769","null","1986","null","392962","null","2283","null","333758","null","2689","null","19721","1130","null","null","358629","null","2546","null","32440","null","1464","null","273146","null","2747","null","4788","422","null","null","9289","722","null","null","62","null","46","null","33807","null","1545","null",
