question,type,value,notes
1,type,float,
2,bool,True,
3,bool,True,
4,bool,False,
5,bool,True,
6,str,'even',
7,int,14,
8,int,21,
9,list,"[[1, 6, 7, 8, {'x': 8, 'y': 5}],
 [3, 4, 9, {'x': 9, 'y': 2, 'z': 4}],
 [5, 2, {'x': 3, 'y': 1, 'z': 7, 'w': 6}]]",
10,int,8,
11,list,"[[1, 6, 7, 8, {'x': 8, 'y': 5}],
 [3, 404, 9, {'x': 9, 'y': 2, 'z': 4}],
 [5, 2, {'x': 3, 'y': 1, 'z': 7, 'w': 6}]]",
12,int,412,
13,list,"[[5, 2, {'x': 3, 'y': 1, 'z': 7, 'w': 6}],
 [1, 6, 7, 8, {'x': 8, 'y': 5}],
 [3, 404, 9, {'x': 9, 'y': 2, 'z': 4}]]",
14,float,1353.73,tolerance=0.5
15,float,1.5,
16,float,"float(""nan"")",
17,list,"[2017, 2018, 2019, 2020, 2021]",
18,int,2401818,
19,int,8902093,
20,float,0.0784,tolerance=0.001
21,dict,"{'Illinois': 7.35,
 'Indiana': 8.30,
 'Iowa': 8.30,
 'Michigan': 7.58,
 'Minnesota': 6.18,
 'Wisconsin': 8.03}",tolerance=0.01
22,Figure,plt.Figure(),
23,Figure,plt.Figure(),
24,Figure,plt.Figure(),
25,str,'commit 660994efc761efdfd49ca442b73f6712dc77b6cf',
26,list,"['a9d4ea81da28ee9c894bf9d45adc4cfa9d52fddc',
 '727c701686c18c4a27ca523eb0c5862d497be24e',
 '4edec48b74dbb9d571e927b69b24c30ec0624975',
 '625eba4bb403296a8bbc1e72cc9cf4a5126f6c02',
 '4aa76212d1be9b17a57249549c2a73fb10b6cda8',
 '3b36bef2e6165bb4dad73d17f23ee1879e99f497',
 '44b42e0fbd93d86e0f4e929bda8e5fb63e81035d',
 '4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4',
 'b15ad394279fc3b7f998fa56857f334a7c0156f6',
 '33850c0ebd23ae615e6823993d441f46d80b1ff0']",
27,str,"""\n                          // Flask //\n\n         because sometimes a pocket knife is not enough\n\n\n    ~ What is Flask?\n\n      Flask is a microframework for Python based on Werkzeug\n      and Jinja2.  It's intended for small scale applications\n      and was development with best intentions in mind.\n\n    ~ Is it ready?\n\n      A preview release is out now, and I'm hoping for some\n      input about what you want from a microframework and\n      how it should look like.  Consider the API to slightly\n      improve over time.\n\n    ~ What do I need?\n\n      Jinja 2.4 and Werkzeug 0.6.1.  `easy_install` will\n      install them for you if you do `easy_install Flask==dev`.\n      I encourage you to use a virtualenv.  Check the docs for\n      complete installation and usage instructions.\n\n    ~ Where are the docs?\n\n      Go to http://flask.pocoo.org/ for a prebuild version of\n      the current documentation.  Otherwise build them yourself\n      from the sphinx sources in the docs folder.\n""",
28,dict,"{'pallets': 204,
 'pgjones': 14,
 'greyli': 42,
 'ThiefMaster': 11,
 'davidism': 45,
 'untitaker': 20,
 'ThomasWaldmann': 13,
 'SimonSapin': 11}",
29,str,"'ERROR: unknown command ""instal"" - maybe you meant ""install""\n'",
30,Figure,plt.Figure(),
31,Figure,plt.Figure(),
32,Figure,plt.Figure(),
